id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
294,7,SANTA CRUZ,71106,CUATRO CAÑADAS,305,"0,547059392"
295,7,SANTA CRUZ,71201,SAN MATIAS,267,"0,763971663"
296,7,SANTA CRUZ,71301,COMARAPA,318,"0,803979225"
297,7,SANTA CRUZ,71302,SAIPINA,122,"0,831424369"
298,7,SANTA CRUZ,71401,PUERTO SUAREZ,363,"0,858140907"
299,7,SANTA CRUZ,71402,PUERTO QUIJARRO,370,"0,70625782"
300,7,SANTA CRUZ,71403,CARMEN RIVERO TORREZ,42,"0,308558818"
301,7,SANTA CRUZ,71501,ASCENCION DE GUARAYOS,652,"1,273033707"
302,7,SANTA CRUZ,71502,URUBICHA,116,"0,749965002"
303,7,SANTA CRUZ,71503,EL PUENTE(STC),185,"0,7371978"
304,8,BENI,80101,TRINIDAD,2875,"0,836628073"
305,8,BENI,80102,SAN JAVIER(BNI),48,"0,509674289"
306,8,BENI,80201,RIBERALTA,2927,"0,931438466"
307,8,BENI,80202,GUAYARAMERIN,1025,"0,694709844"
308,8,BENI,80301,REYES,332,"0,67942813"
309,8,BENI,80302,SAN BORJA,644,"0,465329104"
310,8,BENI,80303,SANTA ROSA,172,"0,555320914"
311,8,BENI,80304,RURRENABAQUE,306,"0,547239948"
312,8,BENI,80401,SANTA ANA,472,"0,983732454"
313,8,BENI,80402,EXALTACION,39,"0,110386763"
314,8,BENI,80501,SAN IGNACIO,409,"0,639027385"
315,8,BENI,80601,LORETO,60,"0,681895265"
316,8,BENI,80602,SAN ANDRES,122,"0,396609949"
317,8,BENI,80701,SAN JOAQUIN,144,"0,737761057"
318,8,BENI,80702,SAN RAMON BENI,125,"0,653311773"
319,8,BENI,80703,PUERTO SILES,7,"0,248688957"
320,8,BENI,80801,MAGDALENA,238,"0,759062823"
321,8,BENI,80802,BAURES,72,"0,549603119"
322,8,BENI,80803,HUARACAJE,59,"0,62021536"
323,9,PANDO,90101,COBIJA,1031,"0,681490548"
324,9,PANDO,90102,PORVENIR,101,"0,689602266"
325,9,PANDO,90103,BOLPEBRA,28,"0,642592429"
326,9,PANDO,90104,BELLA FLOR,25,"0,384661372"
327,9,PANDO,90201,PUERTO RICO,149,"1,058698924"
328,9,PANDO,90202,SAN PEDRO(PND),16,"0,627743408"
329,9,PANDO,90203,FILADELFIA,70,"0,608279693"
330,9,PANDO,90301,PUERTO GONZALO MORENO,88,"0,544500796"
331,9,PANDO,90302,SAN LORENZO(PND),80,"0,695129305"
332,9,PANDO,90303,SENA,67,"1,025406822"
333,9,PANDO,90401,NACEBE (SANTA ROSA DEL ABUNA),40,"0,476982592"
334,9,PANDO,90402,INGAVI (HUMAITA),21,"1,000588368"
335,9,PANDO,90501,NUEVO MANOA (NUEVA ESPERANZA),49,"1,29274173"
336,9,PANDO,90502,VILLA NUEVA (LOMA ALTA),34,"0,887181719"
337,9,PANDO,90503,EUREKA (SANTOS MERCADO),16,"0,819512135"
