,departamento,municipio,establecimiento,direccion
240,SANTA CRUZ,PAMPA GRANDE,MATARAL,CARRETERA ANTIGUA COCHABAMBA KM.193.
241,SANTA CRUZ,PAMPA GRANDE,PALMASOLA,PLAZA PRINCIPAL
242,SANTA CRUZ,PAMPA GRANDE,PAMPA GRANDE,PAMPAGRANDE
243,SANTA CRUZ,PAMPA GRANDE,SANTA ROSA DE LIMA,FRENTE A LA ESCUELA DE LA LOCALIDAD
244,SANTA CRUZ,PORONGO,LAS CRUCES,COMUNIDAD LAS CRUCES
245,SANTA CRUZ,PORONGO,LOS BATOS,COMUNIDAD LOS BATOS
246,SANTA CRUZ,PORONGO,LUQUILLAS,COMUNIDAD LUQUILLAS
247,SANTA CRUZ,PORONGO,NUEVAPALESTINA,COMUNIDAD NUEVA PALESTINA
249,SANTA CRUZ,PORONGO,SAN JUAN BAUTISTA,Agosto (Porongo)
250,SANTA CRUZ,PORONGO,SAN PEDRO,COMUNIDAD SAN PEDRO (PORONGO)
251,SANTA CRUZ,PORONGO,SANTA FE DE AMBORO,COMUNIDAD SANTA FE DE AMBORO
252,SANTA CRUZ,PORONGO,SOMBRERITO,COMUNIDAD SOMBRERITO
253,SANTA CRUZ,PORONGO,TARUMATU,"COMUNIDAD TARUMATU, FRENTE A LA IGLESIA"
254,SANTA CRUZ,PORONGO,TEREBINTO,COMUNIDAD TEREBINTO
255,SANTA CRUZ,PORTACHUELO,NICOLAS ORTIZ A.,Avenida Ovidio Barbery s/n
256,SANTA CRUZ,PORTACHUELO,SAN IGNACIO DEL SARA,san ignacio del sara b/ central
257,SANTA CRUZ,PORTACHUELO,SAN JOSE OBRERO,Avenida Rvdo. Padre Jose Maria Ruiz Diaz
258,SANTA CRUZ,PORTACHUELO,SAN JUAN DE PALOMETILLAS,carretera santa cruz-cochabamba km. 82
259,SANTA CRUZ,POSTRER VALLE,MOSQUERA,comunidad Mosquera
260,SANTA CRUZ,POSTRER VALLE,SAN JUAN DE DIOS POSTRER VALLE,CIRCUMBALACION URBANIZACION VILLA ANGELICA
262,SANTA CRUZ,POSTRER VALLE,TIERRAS NUEVAS,TIERRAS NUEVAS
263,SANTA CRUZ,PUCARA,LOMA LARGA,LOMA LARGA
264,SANTA CRUZ,PUCARA,SAN JUAN DE DIOS PUCARA,PUCARA-VALLEGRANDE-SANTA CRUZ- BOLIVIA
265,SANTA CRUZ,PUERTO QUIJARRO,PRINCIPE DE PAZ,avenida el carmen   No 170
267,SANTA CRUZ,PUERTO QUIJARRO,SAN JOSE,CONCEPCION
268,SANTA CRUZ,PUERTO SUAREZ,PARADERO,BARRIO EQUIPETROL
269,SANTA CRUZ,PUERTO SUAREZ,YACUSE,YACUCES
270,SANTA CRUZ,QUIRUSILLAS,HIERBA BUENA CIVIL,Av. hierba buena civil
271,SANTA CRUZ,QUIRUSILLAS,QUIRUSILLA,CALLE SANTA CRUZ
272,SANTA CRUZ,ROBORE,AGUAS CALIENTES,BARRIO 13 DE MAYO
273,SANTA CRUZ,ROBORE,GERMAN VACA DIEZ,AV. HUMBERTO TORREZ ORTIZ
274,SANTA CRUZ,ROBORE,JUAN XXIII,BARRIO SAN ANTONIO
275,SANTA CRUZ,ROBORE,SANTA LUCIA,BARRIO 5 DE OCTUBRE
276,SANTA CRUZ,SAIPINA,CHILON,Plaza 18 de Agosto
277,SANTA CRUZ,SAIPINA,SAIPINA,BARRIO NUEVO SIPINA
278,SANTA CRUZ,SAMAIPATA,BELLA VICTORIA,CARRETERA MAIRANA QUIRUSILLAS
280,SANTA CRUZ,SAMAIPATA,BERMEJO,CARRETERA ANTIGUA A COCHABAMBA KILOMETRO 88
281,SANTA CRUZ,SAMAIPATA,CUEVAS,Carretera antigua a Cochabamba
282,SANTA CRUZ,SAMAIPATA,FLORIDA,Av. Barrientos
283,SANTA CRUZ,SAMAIPATA,SANTIAGO DEL VALLE,Comunidad de Valle abajo calle sin nombre
