,departamento,municipio,establecimiento,direccion
285,CHUQUISACA,SUCRE,QKORA-QKORA,Qhora qhora
286,CHUQUISACA,SUCRE,QUILA QUILA,quila quila
287,CHUQUISACA,SUCRE,QUIRPINCHACA (M),Calle Chayanta #49
288,CHUQUISACA,SUCRE,SAN ANTONIO ALTO (CHQ),VIOLETAS S/N
289,CHUQUISACA,SUCRE,SAN ANTONIO BAJO (M),FRANCISCO BEDREGAL S/N
290,CHUQUISACA,SUCRE,SAN CRISTOBAL (M),calle  pasna  s-n
291,CHUQUISACA,SUCRE,SAN FRANCISCO,BARRIO SAN FRANCISCO S/N
292,CHUQUISACA,SUCRE,SAN JOSE (CHQ),ABDON ONDARZA S/N
293,CHUQUISACA,SUCRE,SAN LUIS (M),Barrio San Luis  s/n
294,CHUQUISACA,SUCRE,SAN ROQUE,TRINIDAD 101
295,CHUQUISACA,SUCRE,SANTA BARBARA NORTE,Daniel Sanchez Bustamante Nro 100
296,CHUQUISACA,SUCRE,SANTA ROSA,BAJO ARANJUEZ SANTA ROSA
297,CHUQUISACA,SUCRE,SIVISTO,Sivisto distrito 6
298,CHUQUISACA,SUCRE,SOICO,Comunidad de Challa
299,CHUQUISACA,SUCRE,SONKHO CHIPA,Soncko Chipa
300,CHUQUISACA,SUCRE,SURIMA,Comunidad Surima
301,CHUQUISACA,SUCRE,TINTAMAYU (M),Sin registro
304,CHUQUISACA,SUCRE,TOMAS KATARI,AV. OTAWA S/N INTERIOR MERCADO TOMAS KATARI
305,CHUQUISACA,SUCRE,U.M. TATA CAJONCITO,av. marical
306,CHUQUISACA,SUCRE,VALLE HERMOSO,ARMANDO MONTENEGRO # 240
307,CHUQUISACA,SUCRE,VILLA  MARLECITA (M),BARRIO VILLA MARLECITA
308,CHUQUISACA,SUCRE,VILLA ARMONIA (CHQ),PHISKA S/N BARRIO VILLA ARMONIA A
310,CHUQUISACA,SUCRE,VILLA ARMONIA B,VILLA ARMONIA B
311,CHUQUISACA,SUCRE,VILLA CHARCAS (M),SANCHEZ DE HOZ S/N
313,CHUQUISACA,SUCRE,VILLA COPACABANA,CHURUQUELLA)
314,CHUQUISACA,SUCRE,VILLA LA JASTAMBO (M),calle villa lajastambo
316,CHUQUISACA,SUCRE,VILLA MARGARITA,POLICIAL
317,CHUQUISACA,SUCRE,VILLA ROSARIO,DTTO. CHUQUISACA S/N
319,CHUQUISACA,SUCRE,VIRGEN DE GUADALUPE,AV. CIRCUNVALACION ESQUINA ROTONDA FANCESA
320,CHUQUISACA,SUCRE,VIRGEN DEL REMEDIO,Sin registro
321,CHUQUISACA,SUCRE,ZOONOSIS,Avenida Japon # 10
322,CHUQUISACA,TARABUCO,CIENEGA,COMUNIDAD LA CIENEGA
323,CHUQUISACA,TARABUCO,COLLACAMANI,COLLACAMANI
324,CHUQUISACA,TARABUCO,CORORO,CALLE TARIJA S/N
325,CHUQUISACA,TARABUCO,EL CARMEN (TARABUCO),EL CARMEN
326,CHUQUISACA,TARABUCO,EL PAREDON,EL PAREDON
327,CHUQUISACA,TARABUCO,HIGUERAS CHILCA,COMUNIDAD HIGUERAS CHILLCA
328,CHUQUISACA,TARABUCO,PAJCHA (CHQ),COMUNIDAD PAJCHA
329,CHUQUISACA,TARABUCO,PAMPA LUPIARA,CUMONIDAD PAMPA LUPIARA
330,CHUQUISACA,TARABUCO,SARUFAYA,SARUFAYA
331,CHUQUISACA,TARABUCO,SURIMA CHICA,SURIMA CHICA
332,CHUQUISACA,TARVITA,ABRA KASA,ABRA KASA
333,CHUQUISACA,TARVITA,CHUNCA CANCHA,TARVITA
334,CHUQUISACA,TARVITA,EL SALTO,EL SALTO
335,CHUQUISACA,TARVITA,LA SILLADA,LA SILLADA
337,CHUQUISACA,TARVITA,MOLLENI,MOLLENI
338,CHUQUISACA,TARVITA,PAMPA HUASI,pampa huasi
339,CHUQUISACA,TARVITA,PAMPAS DE LEQUE,PAMPAS DE LEQUE
340,CHUQUISACA,TARVITA,SAN JOSE DE ALISOS,San Jose de Alisos
341,CHUQUISACA,TARVITA,SAN MIGUEL,Comunidad San Miguel Municipio Tarvita
342,CHUQUISACA,TARVITA,SAN PEDRO (CHQ),SAN PEDRO
343,CHUQUISACA,TARVITA,TACOS,Tacos
344,CHUQUISACA,TARVITA,VILLA PAMPA,VILLA PAMPA- TARVITA
345,CHUQUISACA,TARVITA,VIRGEN DEL ROSARIO TARVITA,TARVITA
346,CHUQUISACA,TOMINA,CORSO,CORSO
347,CHUQUISACA,TOMINA,FUERTE RUA,FUERTE RUA SECTOR CENTRO
348,CHUQUISACA,TOMINA,KURI,COMUNIDAD KURI
349,CHUQUISACA,TOMINA,OTORONGO,OTORONGO
350,CHUQUISACA,TOMINA,P.S. VILLAFLORES,VILLA FLORES
352,CHUQUISACA,TOMINA,PUCARA (CHQ),Tomina
353,CHUQUISACA,TOMINA,PUNAMAYU,COMUNIDAD PUNAMAYU
354,CHUQUISACA,TOMINA,RODEO PORVENIR,Rodeo porvenir
355,CHUQUISACA,TOMINA,TARABUQUILLO,Tarabuquillo
356,CHUQUISACA,TOMINA,THURUMAYU,THURUMAYU
357,CHUQUISACA,TOMINA,TOMINA,RUFINO TANGO
358,CHUQUISACA,VILLA CHARCAS,CAIZAK,CAISAK
359,CHUQUISACA,VILLA CHARCAS,HUANCARANI ALTO,HUANCARANI ALTO
360,CHUQUISACA,VILLA CHARCAS,PUCARITA (CHQ),PUCARITA
361,CHUQUISACA,VILLA CHARCAS,SACARI,SACARI
362,CHUQUISACA,VILLA CHARCAS,SANTA ELENA,SANTA ELENA
363,CHUQUISACA,VILLA CHARCAS,SANTA MARIA MADRE DE DIOS,CALLE CAMARGO S/N
364,CHUQUISACA,VILLA CHARCAS,SULTACA ALTA,SULTACA ALTA
365,CHUQUISACA,VILLA CHARCAS,SUPAS,SUPAS
366,CHUQUISACA,VILLA CHARCAS,TIPANI,tipani
368,CHUQUISACA,VILLA SERRANO,C.S.I.  SAN MIGUEL DE VILLA SER,RANO CALLE HEROES DEL CHACO S/N
369,CHUQUISACA,VILLA SERRANO,LOS POZOS,pozos
371,CHUQUISACA,VILLA SERRANO,MENDOZA,barrio hospital
372,CHUQUISACA,VILLA SERRANO,MONTEGRANDE,MONTEGRANDE
373,CHUQUISACA,VILLA SERRANO,NUEVO MUNDO,Nuevo Mundo
374,CHUQUISACA,VILLA SERRANO,PAMPAS DEL TIGRE,Pampas del Tigre
375,CHUQUISACA,VILLA SERRANO,PIEDRA GRANDE,Piedra Grande
