id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
208;5;POTOSI;50302;CHAQUI;3174;8726;11900;3,062527302;0,920208593;1,131282854
209;5;POTOSI;50303;TACOBAMBA;4074;6744;10818;2,708809961;0,609283566;0,86043439
210;5;POTOSI;50401;COLQUECHACA;15115;15886;31001;3,023868717;0,490374341;0,829031806
211;5;POTOSI;50402;RAVELO;7679;14522;22201;2,933084531;0,746282716;1,005608672
212;5;POTOSI;50403;POCOATA;7809;11063;18872;2,326803197;0,449612026;0,674921621
213;5;POTOSI;50404;OCURI;7118;8493;15611;3,080498871;0,573376611;0,911702045
214;5;POTOSI;50501;SAN PEDRO DE BUENA VISTA;13952;12179;26131;3,350333928;0,43951168;0,819804827
215;5;POTOSI;50502;TORO TORO;6557;8654;15211;4,440595991;0,859776029;1,31788073
216;5;POTOSI;50601;COTAGAITA;12550;48821;61371;3,459714663;1,620255353;1,817907844
217;5;POTOSI;50602;VITICHI;3635;12395;16030;3,194575822;1,220110634;1,418988286
218;5;POTOSI;50701;SACACA;11126;9306;20432;3,929525501;0,517148913;0,981071824
219;5;POTOSI;50702;CARIPUYO;3054;4170;7224;2,708593334;0,513585756;0,781234236
220;5;POTOSI;50801;TUPIZA;26208;97670;123878;4,747200968;2,322858966;2,604227032
221;5;POTOSI;50802;ATOCHA;8123;33258;41381;5,007749617;3,225875141;3,468113715
222;5;POTOSI;50901;"COLCHA ""K""";6289;13217;19506;4,150352279;1,074744718;1,412138044
223;5;POTOSI;50902;SAN PEDRO DE QUEMES;354;1190;1544;3,840927741;1,150699669;1,370837634
224;5;POTOSI;51001;SAN PABLO DE LIPEZ;2263;4996;7259;4,676367965;1,612522169;2,02642275
225;5;POTOSI;51002;MOJINETE;463;1546;2009;2,664887847;1,432644261;1,603525575
226;5;POTOSI;51003;SAN ANTONIO DE ESMORUCO;1067;2170;3237;3,484927805;1,024332642;1,335050108
227;5;POTOSI;51101;PUNA;8220;19856;28076;3,331633147;0,954880208;1,206973423
228;5;POTOSI;51102;"CAIZA ""D""";4410;12065;16475;3,449480748;1,046234341;1,286075835
229;5;POTOSI;51103;CKOCHAS;7170;11398;18568;3,104372793;0,787113461;1,105869766
230;5;POTOSI;51201;UYUNI;11459;34555;46014;2,86522009;1,25657119;1,460818459
231;5;POTOSI;51202;TOMAVE;5073;14985;20058;2,714173674;1,08329497;1,277427083
232;5;POTOSI;51203;PORCO;4738;4888;9626;2,605977604;0,502791583;0,834152979
233;5;POTOSI;51301;ARAMPAMPA;2046;2539;4585;3,240688659;0,668631664;1,035303104
234;5;POTOSI;51302;ACACIO;2796;5305;8101;3,292871007;0,931975902;1,238436132
235;5;POTOSI;51401;LLICA;1578;4821;6399;3,320560784;1,225608294;1,451422638
236;5;POTOSI;51402;TAHUA;622;1526;2148;3,146313901;0,949023377;1,189592412
237;5;POTOSI;51501;VILLAZON;23845;53435;77280;4,462907364;1,262687965;1,621438519
238;5;POTOSI;51601;SAN AGUSTIN;1179;3776;4955;6,826640913;2,337881258;2,771495594
239;6;TARIJA;60101;TARIJA;126630;457442;584072;5,644804832;2,339047555;2,679221343
240;6;TARIJA;60201;PADCAYA;11701;49565;61266;5,431476254;2,80234071;3,087802554
241;6;TARIJA;60202;BERMEJO;36324;104922;141246;9,363019013;3,202978215;3,855266533
242;6;TARIJA;60301;YACUIBA;56505;174209;230714;5,05935041;2,007538727;2,355526417
243;6;TARIJA;60302;CARAPARI;9282;33366;42648;5,153109812;2,29457548;2,609638359
244;6;TARIJA;60303;VILLA MONTES;22195;81348;103543;4,41666035;2,179775357;2,445239222
245;6;TARIJA;60401;URIONDO (A. CONCEPCION);10466;35811;46277;6,5520518;2,540474071;2,948791031
246;6;TARIJA;60402;YUNCHARA;4065;13516;17581;5,686977859;2,642842052;3,016135444
247;6;TARIJA;60501;SAN LORENZO(TJA);11785;35967;47752;4,260394611;1,593763451;1,884933878
248;6;TARIJA;60502;EL PUENTE(TJA);4880;21520;26400;3,610628495;2,010447007;2,189844157
249;6;TARIJA;60601;ENTRE RIOS  TRJ;10758;43574;54332;3,700072719;2,130124233;2,325498349
250;7;SANTA CRUZ;70101;SANTA CRUZ DE LA SIERRA;531460;1543212;2074672;3,125371748;1,12293347;1,343425066
251;7;SANTA CRUZ;70102;COTOCA;31917;28281;60198;4,882477608;0,676401084;1,245096971
252;7;SANTA CRUZ;70103;PORONGO;5051;9488;14539;2,617580607;0,661434241;0,893375603
253;7;SANTA CRUZ;70104;LA GUARDIA;41853;44879;86732;3,653747964;0,538419427;0,914816869
254;7;SANTA CRUZ;70105;EL TORNO;27772;69027;96799;4,475716228;1,483641429;1,835733076
255;7;SANTA CRUZ;70201;WARNES;51357;49048;100405;3,849029288;0,55086418;0,980698334
256;7;SANTA CRUZ;70202;OKINAWA;8819;10530;19349;4,930817926;0,918128556;1,459472553
257;7;SANTA CRUZ;70301;SAN IGNACIO DE VELASCO;26905;28424;55329;3,425858463;0,595154291;0,99490133
258;7;SANTA CRUZ;70302;SAN MIGUEL DE VELASCO;4355;4341;8696;2,766811955;0,415119567;0,722784907
259;7;SANTA CRUZ;70303;SAN RAFAEL;6070;4626;10696;6,239366872;0,833509519;1,639766052
260;7;SANTA CRUZ;70401;BUENA VISTA;6749;10565;17314;4,122284736;0,876889427;1,265137567
261;7;SANTA CRUZ;70402;SAN CARLOS;13224;22985;36209;4,906037291;1,232575006;1,6964958
262;7;SANTA CRUZ;70403;YAPACANI;20010;33520;53530;3,031632831;0,711274335;0,996331714
263;7;SANTA CRUZ;70404;SAN JUAN DE YAPACANI;6374;11384;17758;5,195320366;1,332824088;1,817951844
264;7;SANTA CRUZ;70501;SAN JOSE DE CHIQUITOS;5789;15632;21421;1,351342382;0,591096514;0,697079108
265;7;SANTA CRUZ;70502;PAILON;10486;12125;22611;1,601397974;0,360042389;0,562118439
266;7;SANTA CRUZ;70503;ROBORE;8040;21036;29076;4,708212555;1,410991316;1,74984576
267;7;SANTA CRUZ;70601;PORTACHUELO;11410;20614;32024;4,808388788;1,240080058;1,685823577
268;7;SANTA CRUZ;70602;SANTA ROSA DEL SARA;10035;14704;24739;3,919339151;0,823048538;1,211172042
